,T [K],Time [s],Hardness [HV],C,Mn,Si,Cr,V,W,dataset,DROP,Mo,Ni,Co,Al,Cu,Ti,N,B,S,Izod [J]
150,866.4833333333333,3600.0,201.076731163,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,135.58218992353164
151,922.0388888888888,3600.0,201.076731163,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,112.53321763653126
152,866.4833333333333,3600.0,201.076731163,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,68.46900591138348
153,922.0388888888888,3600.0,201.076731163,0.39,0.71,0.15,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,116.60068333423722
154,922.0388888888888,3600.0,201.076731163,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,51.25006779109496
155,866.4833333333333,3600.0,201.076731163,0.405,0.75,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.92602635717772
156,922.0388888888888,3600.0,201.076731163,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,70.50273876023645
157,922.0388888888888,3600.0,201.076731163,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,62.36780736482456
158,866.4833333333333,3600.0,201.076731163,0.29,0.85,0.25,0.44,0.0,0.0,handbook,True,0.19,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.021,141.0054775204729
159,866.4833333333333,3600.0,201.076731163,0.3,0.48,0.2,0.91,0.0,0.0,handbook,True,0.2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.015,122.70188188079614
160,973.15,9000.0,201.6497231979792,0.56,0.0,0.0,0.0,0.0,0.0,Hollomon ,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
161,866.4833333,3600.0,201.7253566,0.2,0.64,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
162,923.0,10800.0,201.8527053,0.23,0.99,0.15,0.16,0.0,0.0,Mukherjee,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.02,
163,810.9277777777778,3600.0,202.44929457542952,0.19,0.3,0.0,0.1,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
